                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.4364,                  5.155,                 4.2344,                      0,                      0,                      0,                      0,                 6.5616,                 4.4653,                 4.1584,                0.00012,                0.00012,                0.00012
                      2,                 6.2426,                  4.571,                 4.0859,                      0,                      0,                      0,                      0,                 6.5617,                 4.4713,                 4.1606,             0.00025743,             0.00025743,             0.00025743
                      3,                 5.1059,                 3.3872,                 3.9091,                      0,                      0,                      0,                      0,                 6.5661,                 4.4721,                 4.1764,             0.00039208,             0.00039208,             0.00039208
                      4,                 4.2073,                 2.7036,                    3.6,                      0,                      0,                      0,                      0,                 6.5744,                 4.4683,                 4.2045,             0.00052396,             0.00052396,             0.00052396
                      5,                 3.5084,                 2.3482,                 3.3669,                      0,                      0,                      0,                      0,                 6.5853,                 4.4479,                  4.249,             0.00065307,             0.00065307,             0.00065307
                      6,                 3.0271,                 1.9868,                 2.8087,                      0,                      0,                      0,                      0,                 6.5884,                  4.385,                  4.266,             0.00077941,             0.00077941,             0.00077941
                      7,                 2.7581,                 1.8217,                 2.2385,                      0,                      0,                      0,                      0,                  6.609,                 4.3611,                 4.3454,             0.00090298,             0.00090298,             0.00090298
                      8,                 2.6243,                 1.7518,                 2.0205,                      0,                      0,                      0,                      0,                 6.5925,                 4.2976,                 4.2907,              0.0010238,              0.0010238,              0.0010238
                      9,                 2.4576,                 1.5618,                 1.7815,                      0,                      0,                      0,                      0,                 6.5909,                 4.4366,                 4.2949,              0.0011418,              0.0011418,              0.0011418
                     10,                 2.3734,                 1.5262,                 1.7387,                      0,                      0,                      0,                      0,                 6.5673,                 4.4598,                 4.2163,               0.001257,               0.001257,               0.001257
                     11,                 2.3382,                 1.4492,                 1.6041,                      0,                      0,                      0,                      0,                 6.5458,                 4.3877,                 4.1643,              0.0013695,              0.0013695,              0.0013695
                     12,                 2.2233,                 1.4178,                  1.601,                0.00741,                0.06997,                0.00983,                 0.0027,                  4.768,                 3.7053,                 3.0697,              0.0014792,              0.0014792,              0.0014792
                     13,                 2.1705,                 1.2778,                 1.5572,                0.01482,                0.13993,                0.03131,                0.01061,                 3.9892,                 3.5093,                 2.8775,              0.0015862,              0.0015862,              0.0015862
                     14,                 2.1555,                  1.297,                 1.5482,                0.29283,                 0.2505,                0.16414,                0.05415,                 2.6476,                 2.6251,                 2.2709,              0.0016903,              0.0016903,              0.0016903
                     15,                 2.0616,                 1.2901,                 1.5045,                 0.3817,                0.25331,                0.27081,                0.09557,                 2.4135,                 2.0986,                 1.9525,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.0851,                 1.2429,                 1.4617,                0.53471,                0.45952,                0.47697,                0.18386,                 2.2217,                 1.5721,                 1.6175,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.0948,                 1.2041,                 1.4275,                0.60626,                0.51543,                0.56055,                0.23471,                 2.0938,                  1.431,                 1.4947,               0.001703,               0.001703,               0.001703
                     18,                 2.0924,                 1.2799,                 1.5296,                0.69683,                0.63245,                0.69385,                0.31549,                 1.9297,                 1.2972,                 1.3534,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.0676,                 1.1662,                  1.366,                0.74771,                 0.6908,                0.74165,                0.33741,                  1.883,                 1.8405,                 1.3123,              0.0016634,              0.0016634,              0.0016634
                     20,                  1.989,                 1.1746,                 1.3804,                0.77647,                0.71001,                0.77203,                0.35221,                 1.8801,                 1.2709,                 1.3177,              0.0016436,              0.0016436,              0.0016436
